event,protocols,event_type,count_rows
ABORT,BLANK_UNKNOWN,repro,213
BORN,BLANK_UNKNOWN,phase_parameter,1123
BRED,BLANK_UNKNOWN,repro,5623
CIDROUT,BLANK_UNKNOWN,repro,26
CIDR_IO,BLANK_UNKNOWN,repro,66
CULTURE,BLANK_UNKNOWN,health,2265
DA,BLANK_UNKNOWN,health,55
DEHORN,BLANK_UNKNOWN,management,1302
DIARHEA,BLANK_UNKNOWN,health,1234
DIED,BLANK_UNKNOWN,lact_parameter,396
DNB,BLANK_UNKNOWN,repro,295
DRY,BLANK_UNKNOWN,lact_parameter,801
EXM,BLANK_UNKNOWN,unknown,2778
FRESH,BLANK_UNKNOWN,lact_parameter,1731
GOHOME,BLANK_UNKNOWN,management,2
HRDWARE,BLANK_UNKNOWN,health,2
ILLMISC,BLANK_UNKNOWN,health,840
INJURY,BLANK_UNKNOWN,health,33
KETOSIS,BLANK_UNKNOWN,health,42
LAME,BLANK_UNKNOWN,health,513
MAST,BLANK_UNKNOWN,health,2124
MEASURE,BLANK_UNKNOWN,measure,152
METR,BLANK_UNKNOWN,health,191
METR,LA200.IV,health,4
MF,BLANK_UNKNOWN,health,24
MOVE,BLANK_UNKNOWN,management,4539
OK,BLANK_UNKNOWN,repro,61
OPEN,BLANK_UNKNOWN,repro,1957
OTHER,BLANK_UNKNOWN,health,63
PNEU,BLANK_UNKNOWN,health,2720
PNEU,POLYFLEX.IM,health,158
PREBRED,BLANK_UNKNOWN,unknown,1394
PREFRSH,BLANK_UNKNOWN,unknown,470
PREG,BLANK_UNKNOWN,repro,5952
PREV,BLANK_UNKNOWN,repro,5
PROST,BLANK_UNKNOWN,repro,540
RECK,BLANK_UNKNOWN,repro,36
RP,BLANK_UNKNOWN,health,125
SCKETO,BLANK_UNKNOWN,unknown,84
SOLD,BLANK_UNKNOWN,lact_parameter,601
TEAT3,BLANK_UNKNOWN,management,18
TOGROWR,BLANK_UNKNOWN,management,98
TREATED,BLANK_UNKNOWN,health,715
TRIAL,BLANK_UNKNOWN,unknown,187
VACC,BLANK_UNKNOWN,vac,118
